what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms",1349383524513
os,sysinfo,,,"win32",1349383524520
arch,sysinfo,,,"x86",1349383524520
ws,sysinfo,,,"win32",1349383524520
locale,sysinfo,,,"en_US",1349383524520
processors,sysinfo,,,"8",1349383524520
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1349383524520
java.runtime.version,sysinfo,,,"1.7.0_07-b11",1349383524520
java.specification.name,sysinfo,,,"Java Platform API Specification",1349383524520
java.specification.vendor,sysinfo,,,"Oracle Corporation",1349383524520
java.specification.version,sysinfo,,,"1.7",1349383524520
java.vendor,sysinfo,,,"Oracle Corporation",1349383524520
java.version,sysinfo,,,"1.7.0_07",1349383524520
java.vm.info,sysinfo,,,"mixed mode, sharing",1349383524520
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1349383524520
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1349383524520
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1349383524520
java.vm.specification.version,sysinfo,,,"1.7",1349383524520
java.vm.vendor,sysinfo,,,"Oracle Corporation",1349383524520
java.vm.version,sysinfo,,,"23.3-b01",1349383524520
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1349383524565
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1349383524987
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1349383525235
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1349383525469
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1349383525991
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1349383526236
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1349383526240
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1349383526655
started,bundle,com.android.ide.eclipse.traceview,20.0.3.v201208082019-427395,"com.android.ide.eclipse.traceview",1349383528567
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1349383528979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349383530303
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1349383532644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349383651162
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349383652853
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1349383653229
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1349383655917
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1349383655951
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1349383658624
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349383658802
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349383658926
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1349383660267
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349383664054
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1349383665348
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1349383665567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349383665853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349383811861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349383813616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349383905300
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349383907012
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1349383907819
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349383926572
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349383945925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349383949016
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1349383962808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349383963645
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349383964148
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349383964216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349383964382
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1349383964544
